,Population 2023,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
LVA,149,,Latvia," 1,882 ",
MKD,150,,North Macedonia," 1,812 ",
XKX,151,,Kosovo," 1,756 ",
GNQ,152,,Equatorial Guinea," 1,715 ",
TTO,153,,Trinidad and Tobago," 1,535 ",
BHR,154,,Bahrain," 1,486 ",
EST,155,,Estonia," 1,366 ",
TLS,156,,Timor-Leste," 1,361 ",
MUS,157,,Mauritius," 1,261 ",
CYP,158,,Cyprus," 1,260 ",
SWZ,159,,Eswatini," 1,211 ",
DJI,160,,Djibouti," 1,136 ",
FJI,161,,Fiji, 936 ,
COM,162,,Comoros, 852 ,
GUY,163,,Guyana, 814 ,
BTN,164,,Bhutan, 787 ,
SLB,165,,Solomon Islands, 740 ,
MAC,166,,"Macao SAR, China", 704 ,
LUX,167,,Luxembourg, 669 ,
SUR,168,,Suriname, 623 ,
MNE,169,,Montenegro, 616 ,
CPV,170,,Cabo Verde, 599 ,
MLT,171,,Malta, 553 ,
MDV,172,,Maldives, 521 ,
BRN,173,,Brunei Darussalam, 453 ,
BHS,174,,"Bahamas, The", 413 ,
BLZ,175,,Belize, 411 ,
ISL,176,,Iceland, 394 ,
VUT,177,,Vanuatu, 335 ,
PYF,178,,French Polynesia, 309 ,
BRB,179,,Barbados, 282 ,
NCL,180,,New Caledonia, 268 ,
STP,181,,São Tomé and Principe, 232 ,
WSM,182,,Samoa, 226 ,
LCA,183,,St. Lucia, 180 ,
CHI,184,,Channel Islands, 175 ,
GUM,185,,Guam, 173 ,
CUW,186,,Curaçao, 148 ,
KIR,187,,Kiribati, 134 ,
GRD,188,,Grenada, 126 ,
SYC,189,,Seychelles, 120 ,
FSM,190,,"Micronesia, Fed. Sts.", 115 ,
TON,191,,Tonga, 108 ,
ABW,192,,Aruba, 106 ,
VIR,193,,Virgin Islands (U.S.), 105 ,
VCT,194,,St. Vincent and the Grenadines, 104 ,
ATG,195,,Antigua and Barbuda, 94 ,
IMN,196,,Isle of Man, 85 ,
AND,197,,Andorra, 80 ,
DMA,198,,Dominica, 73 ,
CYM,199,,Cayman Islands, 69 ,
BMU,200,,Bermuda, 63 ,
GRL,201,,Greenland, 57 ,
FRO,202,,Faroe Islands, 53 ,
MNP,203,,Northern Mariana Islands, 50 ,
KNA,204,,St. Kitts and Nevis, 48 ,
TCA,205,,Turks and Caicos Islands, 46 ,
ASM,206,,American Samoa, 44 ,
MHL,207,,Marshall Islands, 42 ,
SXM,208,,Sint Maarten (Dutch part), 41 ,
LIE,209,,Liechtenstein, 40 ,
MCO,210,,Monaco, 36 ,
SMR,211,,San Marino, 34 ,
GIB,212,,Gibraltar, 33 ,
MAF,213,,St. Martin (French part), 32 ,
VGB,214,,British Virgin Islands, 32 ,
PLW,215,,Palau, 18 ,
NRU,216,,Nauru, 13 ,
TUV,217,,Tuvalu, 11 ,
,,,,,
,,,,,
WLD,,,World," 8,024,997 ",
,,,,,
EAS,,,East Asia & Pacific," 2,380,601 ",
ECS,,,Europe & Central Asia," 923,930 ",
LCN,,,Latin America & Caribbean," 664,155 ",
MEA,,,Middle East & North Africa," 500,787 ",
NAC,,,North America," 375,076 ",
SAS,,,South Asia," 1,938,550 ",
SSF,,,Sub-Saharan Africa," 1,241,898 ",
LIC,,,Low income," 722,984 ",
LMC,,,Lower middle income," 3,059,565 ",
UMC,,,Upper middle income," 2,810,588 ",
HIC,,,High income," 1,403,022 ",
,,,,,
,a. Excludes Abkhazia and South Ossetia.  b. Excludes Transnistria.  ,,,,
,,,,,
,http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
